name,description,sku,barcode,category_id,location_id,location,min_stock,max_stock,purchase_price,sale_price,tax_rate,status
CEPILLO DE CADENA IPONE,,I-CHAINBRS,,ff5d9962-a319-42ea-9811-8855a53eb0b0,,01A01E01-B,5,,90,110,0,active
ACEITE IPONE KATANA 10W-50 NARANJA,,I-KAT10W50,,ff5d9962-a319-42ea-9811-8855a53eb0b0,,02A00EM-E,5,,197,220,0,active
ACEITE IPONE KATANA 10W-60 NARANJA,,I-KAT10W60,,ff5d9962-a319-42ea-9811-8855a53eb0b0,,02A00EM-E,5,,197,220,0,active
ACEITE IPONE KATANA 10W-60 DORADO,,I-KT10W60G,,ff5d9962-a319-42ea-9811-8855a53eb0b0,,02A00EM-E,5,,197,220,0,active
LUBRICANTE DE CADENA CHAIN AZUL IPONE,,I-LUBCAAZL,,ff5d9962-a319-42ea-9811-8855a53eb0b0,,02A00EM-A,5,,89,140,0,active
LUBRICANTE DE CADENA CHAIN BLANCO IPONE,,I-LUBCABLO,,ff5d9962-a319-42ea-9811-8855a53eb0b0,,02A00EM-A,5,,192,220,0,active
LUBRICANTE DE CADENA CHAIN ROJO IPONE,,I-LUBCARJO,,ff5d9962-a319-42ea-9811-8855a53eb0b0,,02A00EM-A,5,,198,220,0,active
PARADOR LATERAL,,JA113202,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A01E02-W,5,,48.3,72,0,active
EJE DE TRAPECIO,,JA121003,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E05-A,5,,33.6,50,0,active
TAMBOR DELANTERO,,JA131603,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A01E01-C,5,,345.1,518,0,active
TAMBOR DELANTERO,,JA131603-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A01E01-D,5,,345.1,518,0,active
PANEL DE FRENO DELANTERO RUEDA RAYOS,,JA131605,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A01E03-D,5,,147,221,0,active
